id,time,event,option1,sector,label,nr_jobs
19,29.0,UCLA,Research Intern,research,consulting,3
19,30.589,UCLA,Research Intern,research,consulting,3
19,32.0027,IBM,Software Eng Intern Big Team,consulting,consulting,3
21,22.0,Cisco,Tech Lead Eng,enterprise,saas,2
21,25.674,Microsoft,Tech Lead Sr Software Dev Eng,saas,saas,2
22,29.0,Tata Consultancy Service,System Analyst,consulting,research,4
22,30.4137,Tata Consultancy Service,Functional Consult,consulting,research,4
22,32.0849,Tata Consultancy Service,Database Administrator,consulting,research,4
22,33.1726,UNC Charlotte,Graduate Assistant,research,research,4
26,29.0,Cornell University,Teaching Assistant,research,search,2
26,30.4192,Google,Software Eng,search,search,2
32,22.0,Google,Eng,search,saas,2
32,25.7507,Microsoft,Associated Research ,saas,saas,2
37,29.0,Yahoo,Software Eng,search,search,5
37,31.9178,Yahoo,Sr Software Eng,search,search,5
37,34.2548,Microsoft,Sr Software Eng,saas,search,5
37,34.3315,Google,Sr Software Eng,search,search,5
37,37.7534,Baidu,Sr Architect,search,search,5
38,30.0,Microsoft,Summer Intern,saas,search,5
38,33.1699,Yahoo,Sr Research Eng,search,search,5
38,34.0027,Microsoft,Software Dev Eng,saas,search,5
38,35.1699,Google,Software Eng,search,search,5
38,36.3425,Google,Software Eng,search,search,5
40,26.0,StanfoResearch Dev University,Head Teaching assistant,research,hardware,2
40,26.3342,Nokia,Research Intern,hardware,hardware,2
41,24.0,University WisconsinMadison,Software Eng,research,saas,5
41,25.8384,University WisconsinMadison,Graduate Student,research,saas,5
41,27.2521,Microsoft,Software Dev Eng,saas,saas,5
41,28.8411,Microsoft,Software Eng,saas,saas,5
41,30.674,Microsoft,Software Eng,saas,saas,5
42,31.0,Microsoft,Program Manage NET Framework,saas,social_media,3
42,34.337,Google,Product Manage Google App Eng,search,social_media,3
42,35.8411,LinkedIn,Product Manage Platform API,social_media,social_media,3
43,31.0,Microsoft,Software Dev Engn Test,saas,ecommerce,3
43,38.0055,Microsoft,Software Dev Engn Test ,saas,ecommerce,3
43,44.3425,Amazon,Quality Assurance Eng,ecommerce,ecommerce,3
45,26.0,salesforcecom,Software Dev Intern,saas,saas,5
45,26.8329,salesforcecom,Associate Member Tech Staff,saas,saas,5
45,28.0877,salesforcecom,Member Tech Staff,saas,saas,5
45,29.0877,salesforcecom,Sr Member Tech Staff,saas,saas,5
45,30.589,Salesforce,Lead Member Tech Staff,saas,saas,5
47,30.0,Google,Sr Eng Manage,search,enterprise,2
47,34.0027,EMC,Sr Eng Director CTO China Research Dev Center,enterprise,enterprise,2
48,29.0,Sun MicroSystem,Sr Software Eng,enterprise,ecommerce,3
48,33.0027,IBM,Architect Eng Manage Performance Big Data,consulting,ecommerce,3
48,39.589,Amazon,Software Dev Manage,ecommerce,ecommerce,3
52,31.0,Amazon,Software Eng Intern,ecommerce,research,4
52,32.0,Amazon,Software Eng Intern,ecommerce,research,4
52,33.0,Google,Software Eng Intern,search,research,4
52,33.2521,University Illinois UrbanaChampaign,Teaching Assistant,research,research,4
54,30.0,Yahoo,Sr Director Sponsored Search Science Yahoo Lab,search,search,4
54,34.7507,Yahoo,VP Search Media Science Yahoo Lab,search,search,4
54,37.3342,Google,Eng Director,search,search,4
54,39.7534,Yahoo,VP Ad Science,search,search,4
60,26.0,eBay,Software Eng,ecommerce,saas,4
60,29.0,salesforcecom,Member Tech Staff,saas,saas,4
60,30.9205,salesforcecom,Sr Member Tech Staff,saas,saas,4
60,32.1726,salesforcecom,Lead Member Tech Staff,saas,saas,4
63,28.0,Alibaba,Software Eng Intern,ecommerce,search,2
63,32.3397,Google,Software Eng,search,search,2
65,29.0,VMware,Sr Market Analyst Manage,enterprise,hardware,2
65,32.8356,Apple,Sr Analyst Advanced Analyst,hardware,hardware,2
69,30.0,San Jose State University,Web Dev Graduate School Business,research,enterprise,6
69,31.2548,Sun MicroSystem,Software Eng,enterprise,enterprise,6
69,32.926,Oracle,Software Eng,enterprise,enterprise,6
69,33.5068,Cisco,Software Eng,enterprise,enterprise,6
69,36.1726,Cisco,Tech Market Eng,enterprise,enterprise,6
69,36.8438,VMware,Sr Member Tech Staff,enterprise,enterprise,6
70,31.0,Yahoo,Sr Software Eng Data Science,search,ecommerce,2
70,39.5863,eBay,Sr Data Science,ecommerce,ecommerce,2
73,29.0,Yahoo,Tech Intern Group,search,ecommerce,4
73,29.5014,Yahoo,Software Eng group,search,ecommerce,4
73,31.589,Yahoo,Software Eng Group,search,ecommerce,4
73,33.1699,eBay,Sr Software Eng team Dev group,ecommerce,ecommerce,4
74,28.0,Arizona State University,Student,research,search,2
74,29.8329,Yahoo,Software Eng,search,search,2
75,31.0,Qualcomm,Intern Architect Group,hardware,saas,3
75,32.0849,Qualcomm,Intern Architect Group,hardware,saas,3
75,32.6712,Microsoft,Research Intern compute group,saas,saas,3
76,22.0,IBM,Software Eng,consulting,saas,2
76,23.7507,Microsoft,Software Dev Test Intern,saas,saas,2
77,24.0,PayPal,Sr Software Mobile Eng,internet,saas,2
77,27.1644,Netflix,Sr Software Eng,saas,saas,2
79,30.0,Microsoft,Software Dev Intern,saas,search,2
79,31.0,Google,Software Eng Intern,search,search,2
80,28.0,Northeastern University,Teaching Assistant,research,ecommerce,4
80,28.3342,Northeastern University,Research Assistant,research,ecommerce,4
80,29.337,Amazon,Software Dev Eng,ecommerce,ecommerce,4
80,31.5836,Amazon,Software Dev Eng,ecommerce,ecommerce,4
83,31.0,Yahoo,Sr Software Eng,search,ecommerce,5
83,32.7507,Microsoft,Sr Software Dev Eng Manage,saas,ecommerce,5
83,35.4164,Zynga,Principal Architect General Manage,internet,ecommerce,5
83,36.5014,Microsoft,Principal Dev Manage,saas,ecommerce,5
83,38.0055,Amazon,General Manage Business Initiative,ecommerce,ecommerce,5
87,26.0,Qualcomm, Software Eng Intern,hardware,social_media,2
87,26.6685,Facebook,Software Eng Intern,social_media,social_media,2
88,31.0,Facebook,Software Eng Intern,social_media,social_media,3
88,31.337,Twitter,Software Eng Intern,social_media,social_media,3
88,32.1671,Facebook,Software Eng,social_media,social_media,3
89,24.0,PuResearch Devue University,Research Assistant,research,social_media,2
89,28.337,Facebook,Sr Research Science,social_media,social_media,2
92,29.0,Cisco,Software Dev Eng,enterprise,ecommerce,3
92,30.2548,Amazon,Software Dev Eng Amazon,ecommerce,ecommerce,3
92,32.0877,Amazon,Software Eng Tech Lead Amazon,ecommerce,ecommerce,3
93,28.0,UCLA,Teaching Assistant,research,ecommerce,3
93,29.7479,Amazon,Software Dev Eng,ecommerce,ecommerce,3
93,32.0849,Amazon,Software Dev Eng,ecommerce,ecommerce,3
94,28.0,Twitter,Sr Software Eng,social_media,social_media,2
94,30.2521,Facebook,Eng,social_media,social_media,2
100,29.0,Microsoft,Software Eng Intern,saas,social_media,7
100,29.2521,University Illinois UrbanaChampaign,Research Assistant,research,social_media,7
100,30.0027,Microsoft,Software Eng Intern,saas,social_media,7
100,30.2548,University Illinois UrbanaChampaign,Teaching Assistant,research,social_media,7
100,31.0027,University Illinois UrbanaChampaign,Research Assistant,research,social_media,7
100,31.674,Microsoft,Software Eng,saas,social_media,7
100,32.2548,LinkedIn,Software Eng,social_media,social_media,7
101,31.0,Yahoo,Sr Software Eng,search,social_media,2
101,32.5041,Facebook,Software Eng,social_media,social_media,2
104,24.0,Google,Software Eng Intern,search,social_media,4
104,25.1726,Microsoft Research Asia,Visiting Student,research,social_media,4
104,27.9205,Facebook,Software Eng Intern,social_media,social_media,4
104,28.9233,Facebook,Research Science,social_media,social_media,4
105,24.0,Microsoft,Research Intern,saas,research,4
105,24.4959,Cornell University,Visiting Student,research,research,4
105,25.3342,Google,Research Intern,search,research,4
105,26.0,Cornell University,Reseach Intern,research,research,4
106,30.0,Microsoft,Software Dev Eng,saas,social_media,2
106,33.2521,Facebook,Software Eng,social_media,social_media,2
110,25.0,PayPal,Staff Science,internet,search,3
110,26.8356,PayPal,Principal Science,internet,search,3
110,28.9205,Google,Data Science,search,search,3
111,29.0,Yahoo,Software Dev Eng,search,internet,3
111,30.0849,Yahoo,Software Dev Eng,search,internet,3
111,30.2521,Uber,Software Eng,internet,internet,3
112,28.0,HewlettP,Sr Software Eng,hardware,research,2
112,31.0027,Georgia Institute Tech,Research Assistant,research,research,2
113,31.0,IBM,Software Dev Intern,consulting,search,4
113,34.0849,Google,Software Eng Intern,search,search,4
113,35.0877,Google,Software Eng Intern,search,search,4
113,35.8356,Google,Software Eng,search,search,4
114,28.0,Carnegie Mellon University,Graduate Student,research,search,3
114,34.9205,IBM,Research Staff Member,consulting,search,3
114,42.5918,Google,Research Science,search,search,3
116,30.0,Motorola,Eng,hardware,hardware,2
116,33.9178,Qualcomm,Sr Software Eng,hardware,hardware,2
120,30.0,Microsoft,Research Intern,saas,ecommerce,3
120,31.0,Google,Software Eng Intern,search,ecommerce,3
120,32.2521,Amazon,Research Science,ecommerce,ecommerce,3
123,25.0,Microsoft Research Asia,Research Intern,research,social_media,4
123,28.2493,Microsoft Research Asia,Visiting Student,research,social_media,4
123,30.6712,Twitter,Software Eng,social_media,social_media,4
123,32.2521,Twitter,Sr Software Eng,social_media,social_media,4
124,30.0,Oracle,Member Tech Staff,enterprise,saas,3
124,32.0822,Microsoft,Software Dev Eng,saas,saas,3
124,38.2575,Microsoft,Sr Software Dev Eng,saas,saas,3
125,24.0,San Jose State University,Graduate Student,research,hardware,2
125,25.8329,Apple,Maps Eng,hardware,hardware,2
126,30.0,Microsoft,Principal Software Dev Eng,saas,search,2
126,45.5918,Google,Staff Software Eng,search,search,2
129,28.0,Adobe,Research Intern,saas,research,2
129,29.674,The Ohio State University,Visiting Research,research,research,2
131,26.0,Sun MicroSystem,Software Eng Manage Staff Eng,enterprise,enterprise,2
131,29.0027,VMware,Director Research Dev,enterprise,enterprise,2
133,25.0,Carnegie Mellon University,Graduate Student,research,saas,3
133,26.9151,Juniper Networks,Software Eng,enterprise,saas,3
133,29.1699,Microsoft,Software Eng,saas,saas,3
139,22.0,Microsoft,Software Design Eng Test Intern,saas,consulting,2
139,22.2521,IBM,Software Eng,consulting,consulting,2
142,25.0,Microsoft,Software intern,saas,search,7
142,27.0027,Microsoft Research Asia,research intern,research,search,7
142,28.0027,IBM,Software intern,consulting,search,7
142,28.7534,Yahoo,Research Eng,search,search,7
142,31.0055,Baidu,Sr Research Develop Eng,search,search,7
142,32.7562,Baidu,Prinpcial Research Develop Eng,search,search,7
142,33.6712,Baidu,Architect,search,search,7
145,25.0,HewlettP,Dev Eng,hardware,saas,2
145,26.0,Microsoft,Software Dev Eng,saas,saas,2
146,30.0,Facebook,Software Eng,social_media,search,3
146,30.4192,Yahoo,Sr Eng Manage,search,search,3
146,31.9178,Yahoo,Director Eng,search,search,3
149,31.0,PayPal,Platform Architect,internet,search,2
149,34.0027,Yahoo,Director Eng Sr Principal Architect,search,search,2
150,22.0,Microsoft,Software Dev Manage,saas,search,2
150,31.7534,Google,Software Eng Manage,search,search,2
154,31.0,BEA System,Sr Director Eng,enterprise,enterprise,2
154,33.6685,Oracle,Director Eng,enterprise,enterprise,2
157,31.0,IBM,Software Eng Enterprise Content Manage group,consulting,enterprise,4
157,37.3397,IBM,Release Manage Enterprise Content Manage group,consulting,enterprise,4
157,41.674,IBM,Eng Manage Tech Program Manage,consulting,enterprise,4
157,45.6767,VMware,Sr Program Manage,enterprise,enterprise,4
159,28.0,Google,Software Eng Intern,search,social_media,4
159,28.6712,Microsoft,Software Eng Intern,saas,social_media,4
159,29.0,Facebook,Software Eng Intern,social_media,social_media,4
159,29.7562,Facebook,Software Eng,social_media,social_media,4
160,24.0,Microsoft Research,Research Microsoft Research Redmond,research,search,2
160,31.4192,Google,Sr Software Eng,search,search,2
162,29.0,Intel,Sr System Eng,hardware,hardware,2
162,32.5836,HewlettP,Build Release Manage,hardware,hardware,2
163,22.0,Microsoft,Program Manage,saas,ecommerce,5
163,23.3288,Microsoft Research Asia,Program Manage Lead,research,ecommerce,5
163,28.2493,Amazon,Software Dev Manage,ecommerce,ecommerce,5
163,29.7534,Amazon,Software Dev Manage,ecommerce,ecommerce,5
163,31.9205,Amazon,Software Dev Manage,ecommerce,ecommerce,5
164,28.0,Salesforce,Software Eng,saas,saas,4
164,28.6712,Salesforce,Software Eng,saas,saas,4
164,30.2548,Microsoft,Software Dev Eng Bing,saas,saas,4
164,32.7589,Microsoft,Sr Software Dev Eng Bing,saas,saas,4
165,22.0,Cisco,Intern,enterprise,search,3
165,22.6712,Carnegie Mellon University,PhD student,research,search,3
165,27.9205,Google,Software Eng,search,search,3
166,22.0,Business Objects,Software Eng,saas,hardware,3
166,23.0027,SAP,Sr Software Eng,enterprise,hardware,3
166,28.3425,Apple,Software Eng,hardware,hardware,3
167,22.0,Microsoft Research Asia,Associate Research,research,research,4
167,25.5068,Microsoft,Lead Research,saas,research,4
167,31.5096,Microsoft,Principal Research Dev Lead,saas,research,4
167,33.5123,Microsoft Research,Sr Research,research,research,4
169,24.0,IBM,Staff Software Eng,consulting,saas,2
169,27.0877,Microsoft,Software Dev Eng,saas,saas,2
173,25.0,Twitter,Staff Software Eng,social_media,saas,2
173,28.5836,Netflix,Sr Software Eng,saas,saas,2
175,30.0,IBM,Data Science Intern,consulting,research,2
175,30.6712,Georgia Institute Tech,Graduate Research Assistant,research,research,2
177,31.0,Google,Software Eng Intern,search,social_media,3
177,32.1671,Apple,Software Eng,hardware,social_media,3
177,35.589,Pinterest,Software Eng,social_media,social_media,3
178,25.0,Yahoo,Research Eng Yahoo Lab,search,internet,2
178,27.0,Uber,Security Software Eng Uber,internet,internet,2
182,31.0,StanfoResearch Dev University,Sr Postdoc compute Neuroscience,research,search,2
182,34.7507,Google,Research Science,search,search,2
184,29.0,Microsoft,Software Dev Eng,saas,social_media,3
184,29.1671,Microsoft,Data Science,saas,social_media,3
184,30.1671,LinkedIn,Data Science Software Eng,social_media,social_media,3
186,22.0,Microsoft,Software Eng,saas,search,2
186,31.1726,Google,Sr Software Eng,search,search,2
187,28.0,IBM,Lead Storage Product Eng,consulting,ecommerce,2
187,34.0877,Amazon,Solution Architect,ecommerce,ecommerce,2
189,24.0,Microsoft,Software Eng,saas,social_media,4
189,25.1699,Microsoft,Software Eng,saas,social_media,4
189,28.0877,Microsoft,Sr Applied Research,saas,social_media,4
189,30.5096,Twitter,Sr Software Eng,social_media,social_media,4
190,22.0,Adobe,Software Dev Eng,saas,saas,5
190,22.9205,Microsoft,Software Dev Eng,saas,saas,5
190,27.4192,Microsoft,Sr Software Dev Eng,saas,saas,5
190,32.2603,Microsoft,Principal Software Eng,saas,saas,5
190,34.2603,Microsoft,Principal Software Eng,saas,saas,5
191,24.0,Sun MicroSystem,Sr Infrastructure Architect,enterprise,consulting,5
191,25.4137,IBM,Advisory IT Architect,consulting,consulting,5
191,28.4986,IBM,Insurance Industry Architect IBM Sr Certified Architect,consulting,consulting,5
191,32.0055,IBM,Client Tech Advisor insurance sector IBM Executive Architect,consulting,consulting,5
191,33.0055,IBM,Client Tech Advisor Manage for IBM East China,consulting,consulting,5
193,24.0,Sun MicroSystem,Software Eng,enterprise,saas,3
193,27.4219,Microsoft,Software Design Eng Lead,saas,saas,3
193,32.8384,Microsoft,Sr Dev Lead,saas,saas,3
194,28.0,Microsoft,Student,saas,research,2
194,32.1699,Microsoft Research Asia,Research Intern,research,research,2
195,26.0,IBM,Sr Manage Consult,consulting,consulting,2
195,34.0055,IBM,Research Staff Member,consulting,consulting,2
196,24.0,IBM,Software Eng,consulting,saas,4
196,26.0,Amazon,Software Eng,ecommerce,saas,4
196,27.0,eBay,Sr Software Eng,ecommerce,saas,4
196,29.0027,Microsoft,Sr Program Manage Sr Software Eng Lead,saas,saas,4
197,26.0,Tencent,Product Manage,ecommerce,search,2
197,27.0,Baidu,Sr Product Manage,search,search,2
198,25.0,Symantec,Sr Software Eng,enterprise,enterprise,2
198,29.589,VMware,Sr Member Tech Staff,enterprise,enterprise,2
199,26.0,Adobe,Software Eng,saas,research,2
199,27.0,StanfoResearch Dev University,HCI Research,research,research,2
202,29.0,The Ohio State University,Visiting Scholar,research,search,2
202,29.4137,Google,Software Eng Intern,search,search,2
203,24.0,Tata Consultancy Service,System Eng,consulting,research,2
203,27.6685,San Jose State University,Research Assistant,research,research,2
204,24.0,IBM,Database Porting Consult,consulting,enterprise,2
204,26.3288,Oracle,Principal Support Eng,enterprise,enterprise,2
205,31.0,HewlettP,Sr Member Tech Staff,hardware,saas,3
205,36.5068,Yahoo,Sr Eng Manage,search,saas,3
205,39.5096,Microsoft,Principal Dev Manage,saas,saas,3
206,29.0,Google,Software Eng Intern,search,social_media,4
206,29.5863,StanfoResearch Dev University,Graduate Teaching Assistant,research,social_media,4
206,30.0822,LinkedIn,Software Eng,social_media,social_media,4
206,31.8356,LinkedIn,Sr Software Eng Data Science,social_media,social_media,4
208,28.0,Yahoo,Software Eng,search,search,4
208,30.5068,Amazon,Software Dev Eng,ecommerce,search,4
208,31.7534,Google,Software Eng,search,search,4
208,34.4247,Google,Software Eng,search,search,4
209,28.0,Amazon,Software Dev Eng,ecommerce,saas,2
209,29.7507,Microsoft,Software Dev Eng,saas,saas,2
212,26.0,Apple,GPU Software Eng Intern,hardware,research,2
212,26.2521,Carnegie Mellon University,Graduate Teaching Assistant,research,research,2
216,30.0,TIBCO Software,Sr Architect,enterprise,enterprise,2
216,32.4164,VMware,Staff Eng,enterprise,enterprise,2
217,22.0,PuResearch Devue University,Research Assistant,research,social_media,4
217,24.4986,Qualcomm,Software Eng,hardware,social_media,4
217,27.0027,LinkedIn,Software Eng,social_media,social_media,4
217,28.0027,LinkedIn,Sr Software Eng,social_media,social_media,4
219,26.0,Yahoo,Tech Yahoo Software Dev Eng,search,saas,4
219,28.5041,Microsoft,Software Dev Eng,saas,saas,4
219,29.8356,Microsoft,Sr Software Dev Eng,saas,saas,4
219,31.3397,Microsoft,Sr Dev Lead,saas,saas,4
220,28.0,PuResearch Devue University,Teaching Assistant,research,ecommerce,4
220,32.8356,eBay,Data Science Intern,ecommerce,ecommerce,4
220,33.2548,eBay,Business Analyst,ecommerce,ecommerce,4
220,34.5836,Amazon,Business Intelligence Eng,ecommerce,ecommerce,4
224,29.0,Sun MicroSystem,Database Eng Architect,enterprise,enterprise,6
224,31.0027,Sun MicroSystem,Eng Manage,enterprise,enterprise,6
224,34.0055,Sun MicroSystem,Sr Manage Software Eng,enterprise,enterprise,6
224,37.0055,Sun MicroSystem,Sr Manage Software Eng,enterprise,enterprise,6
224,39.0082,Oracle,Director Software Eng,enterprise,enterprise,6
224,43.011,Oracle,Sr Director Software Eng,enterprise,enterprise,6
225,28.0,Yahoo,Software Eng,search,ecommerce,3
225,30.0,Adobe,Sr Software Eng,saas,ecommerce,3
225,31.8356,Amazon,Software Dev Eng,ecommerce,ecommerce,3
226,26.0,Cisco,Sr Software Eng,enterprise,enterprise,2
226,28.8356,Cisco,Software Dev Manage,enterprise,enterprise,2
228,25.0,Microsoft,Sr Speech Science,saas,research,2
228,27.4192,Microsoft Research Asia,Research,research,research,2
229,29.0,University Washington,Research Assistant,research,saas,3
229,35.0055,Microsoft,Software Eng,saas,saas,3
229,36.0055,Microsoft,Software Eng,saas,saas,3
232,30.0,Microsoft Research Asia,Research Intern,research,research,2
232,30.9205,UCLA,Research Assistant,research,research,2
233,31.0,eBay,Search Science Intern,ecommerce,search,2
233,31.5863,Google,Software Eng,search,search,2
238,29.0,Yahoo,Sr Software Eng,search,search,2
238,33.0849,Google,Software Eng,search,search,2
243,25.0,Georgia Institute Tech,Thesis Intern,research,enterprise,4
243,25.6658,VMware,Associate System Eng,enterprise,enterprise,4
243,26.6658,VMware,PreSale System Eng,enterprise,enterprise,4
243,28.1644,VMware,Tech Account Manage,enterprise,enterprise,4
245,25.0,IBM,Software Eng,consulting,enterprise,4
245,28.2521,IBM,Staff Software Eng,consulting,enterprise,4
245,30.3397,IBM,Advisory Software Eng,consulting,enterprise,4
245,32.1726,VMware,Sr Eng,enterprise,enterprise,4
246,26.0,Motorola,Distinguished Member Tech Staff,hardware,ecommerce,2
246,40.011,Amazon,Principal Research Science,ecommerce,ecommerce,2
248,31.0,Yahoo,Chief Science Search Ads,search,saas,4
248,36.4192,Microsoft,Chief Science Core Search,saas,saas,4
248,40.2603,Microsoft,Distinguished Eng Chief Science Core Search,saas,saas,4
248,43.5096,Microsoft,Tech Fellow Chief Science Core Search,saas,saas,4
251,29.0,Microsoft,Research Intern,saas,social_media,3
251,31.0027,Carnegie Mellon University,Research Assistant,research,social_media,3
251,32.7507,LinkedIn,Applied Research,social_media,social_media,3
254,30.0,Amazon,Software Dev Eng Intern,ecommerce,social_media,4
254,31.0,Amazon,Software Dev Eng Intern,ecommerce,social_media,4
254,32.2521,Amazon,Software Dev Eng,ecommerce,social_media,4
254,34.0877,Twitter,Software Eng,social_media,social_media,4
255,29.0,Trend Micro,Sr Software Engn Test,enterprise,saas,2
255,33.4164,Microsoft,Software Dev Engn Test 2,saas,saas,2
256,22.0,IBM,MVS Storage Administrator,consulting,consulting,2
256,26.0027,IBM,MVS System Program,consulting,consulting,2
258,22.0,Carnegie Mellon University,Course Assistant Introduction to Functional Program,research,hardware,2
258,22.3315,Qualcomm,Interim Eng Intern,hardware,hardware,2
259,24.0,PuResearch Devue University,Research Assistant,research,search,2
259,27.0877,Google,Software Eng,search,search,2
260,28.0,University Washington,Graduate Research Assistant,research,ecommerce,2
260,32.7534,Amazon,Research Science,ecommerce,ecommerce,2
261,22.0,Microsoft,Software Dev Eng,saas,ecommerce,3
261,23.4192,Microsoft,Software Dev Eng,saas,ecommerce,3
261,24.5041,Tencent,Sr Software Eng,ecommerce,ecommerce,3
262,28.0,UC Berkeley,Postdoc Research,research,saas,3
262,31.5041,Yahoo,Science,search,saas,3
262,33.8384,Microsoft,Sr speech Science,saas,saas,3
265,29.0,Georgia Institute Tech,Lead Teaching Assistant compute Science,research,enterprise,3
265,29.8329,Oracle,Applied Eng,enterprise,enterprise,3
265,31.2521,Oracle,Sr Applied Eng,enterprise,enterprise,3
266,25.0,Microsoft,Research Software Design Eng,saas,search,2
266,27.0849,Yahoo,Principal Research Science Manage,search,search,2
267,29.0,Microsoft,Applied Research,saas,social_media,2
267,31.0,Facebook,Research Science,social_media,social_media,2
268,26.0,Cornell University,Teaching Assistant,research,search,2
268,28.8329,Google,Software Eng,search,search,2
269,30.0,Qualcomm,Sr Eng,hardware,search,3
269,32.7479,Qualcomm,Staff Research Dev Eng,hardware,search,3
269,37.0849,Google,Software Eng,search,search,3
271,22.0,Microsoft,Sr Software Design Eng Lead,saas,ecommerce,3
271,26.0027,Microsoft,Principal Software Design Eng Lead,saas,ecommerce,3
271,33.0082,Amazon,Software Developement Manage,ecommerce,ecommerce,3
274,30.0,Infosys,Research Intern,consulting,search,3
274,30.1671,University Southern California,Research Assistant Software Eng,research,search,3
274,35.589,Google,Sr Software Eng,search,search,3
275,30.0,Symantec,Software Eng,enterprise,social_media,4
275,32.5863,Hulu,Software Eng,internet,social_media,4
275,33.7507,Hulu,Head Product China,internet,social_media,4
275,37.7534,Pinterest,Product Manage International Growth,social_media,social_media,4
280,22.0,HewlettP,Software Eng,hardware,search,3
280,25.8356,Yahoo,Sr Software Eng,search,search,3
280,30.1671,Yahoo,Sr Eng Manage Architect,search,search,3
281,31.0,Siebel System,Sr Software Dev,enterprise,search,3
281,33.5041,Microsoft,Manage Eng,saas,search,3
281,38.2548,Yahoo,Director Eng Recommendation System,search,search,3
283,26.0,Motorola,Software Eng Intern,hardware,research,4
283,27.0,Intel,Software Eng Intern,hardware,research,4
283,28.0767,IBM,System Software Eng,consulting,research,4
283,30.5836,University WisconsinMadison,Research Assistant,research,research,4
286,28.0,Cornell University,Graduate Teaching Research Specialist,research,enterprise,3
286,28.4959,Oracle,Member Tech Staff,enterprise,enterprise,3
286,29.4959,Oracle,Sr Member Tech Staff,enterprise,enterprise,3
287,26.0,Microsoft,Software Dev Eng Cloud Operation Team Cloud,saas,enterprise,2
287,29.0027,Oracle,Sr Member Tech Staff Test Tool Infrastructure team Cloud,enterprise,enterprise,2
288,25.0,Intel,Data Path Design,hardware,enterprise,2
288,32.0055,Oracle,Acquired Startup Counder Director Eng,enterprise,enterprise,2
290,29.0,University Southern California,Research Assistant,research,social_media,3
290,33.0027,Google,Software Eng,search,social_media,3
290,36.2521,Twitter,Sr Software Eng Tech Lead,social_media,social_media,3
291,22.0,Sun MicroSystem,Sr Eng Director,enterprise,search,4
291,26.5014,Google,Eng Director,search,search,4
291,29.0904,Google,VP Eng Display Video Ads,search,search,4
291,36.4247,Google,VP Eng Cloud Dev Experience,search,search,4
295,28.0,Juniper Networks,Software Eng,enterprise,enterprise,2
295,29.5863,EMC,Sr Software Eng,enterprise,enterprise,2
296,24.0,Microsoft,Software Dev Eng Intern Consult Service,saas,research,2
296,24.3342,University Illinois UrbanaChampaign,Graduate Assistant Database Information System Lab Lab,research,research,2
297,30.0,Symantec,Principal Eng,enterprise,enterprise,2
297,31.3342,EMC,Consult Eng,enterprise,enterprise,2
301,30.0,Microsoft,Sr Product Manage Windows Azure Tech compute Business Group,saas,ecommerce,3
301,32.0,Microsoft,Sr Product Manage Business Group,saas,ecommerce,3
301,33.4219,Amazon,Principal Product Manage,ecommerce,ecommerce,3
302,24.0,Sybase,Consult,enterprise,enterprise,2
302,31.0027,Informix,Solution Architect,enterprise,enterprise,2
306,30.0,Tata Consultancy Service,System Eng,consulting,research,2
306,32.1671,Arizona State University,Student,research,research,2
307,25.0,University Washington,Research Assistant,research,search,2
307,27.6658,Google,Software Eng,search,search,2
